City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anadyr,64.75,177.4833,36.55,93,75,29.08,RU,1701042179
83,tromso,69.6496,18.957,26.62,93,100,0.0,NO,1701042179
84,kalmunai,7.4167,81.8167,77.29,88,99,2.53,LK,1701042179
85,westport,41.1415,-73.3579,51.08,84,100,14.97,US,1701042179
86,beaufort west,-32.3567,22.583,72.09,51,6,4.32,ZA,1701042179
87,port mathurin,-19.6833,63.4167,76.68,74,86,17.27,MU,1701042019
88,la ronge,55.1001,-105.2842,8.85,72,100,4.61,CA,1701042179
89,mosjoen,65.836,13.1908,-3.48,84,100,4.61,NO,1701042180
90,bonthe,7.5264,-12.505,78.76,80,3,2.55,SL,1701042180
91,west island,-12.1568,96.8225,78.78,73,40,11.5,CC,1701042180
92,stanley,54.868,-1.6985,37.76,93,75,2.3,GB,1701042180
93,geraldton,-28.7667,114.6,72.01,64,99,11.5,AU,1701042086
94,trairi,-3.2778,-39.2689,80.51,67,1,10.54,BR,1701041997
95,el granada,37.5027,-122.4694,62.85,41,0,3.44,US,1701042180
96,suva,-18.1416,178.4415,81.88,78,75,10.36,FJ,1701042181
97,sao tome,0.3365,6.7273,79.41,82,93,6.44,ST,1701042181
98,lompoc,34.6391,-120.4579,68.14,45,0,8.99,US,1701042181
99,bontang,0.1333,117.5,79.34,83,89,4.7,ID,1701041882
100,coyhaique,-45.5752,-72.0662,56.01,44,0,5.75,CL,1701041985
101,breves,-1.6822,-50.4803,74.8,95,61,3.42,BR,1701042181
102,howrah,22.5892,88.3103,66.2,88,20,0.0,IN,1701042058
103,al burayqah,30.4062,19.5739,65.12,61,98,8.08,LY,1701042182
104,montmagny,48.9734,2.3469,42.84,77,100,12.66,FR,1701042182
105,vila franca do campo,37.7167,-25.4333,68.41,99,83,18.59,PT,1701042182
106,tamanrasset,22.785,5.5228,53.51,17,0,9.22,DZ,1701042182
107,saipan,15.1355,145.701,84.9,79,0,19.57,MP,1701042182
108,konongo,6.6167,-1.2167,71.83,98,100,2.33,GH,1701042182
109,papatowai,-46.5619,169.4708,55.4,74,100,5.06,NZ,1701042182
110,tommot,58.9564,126.2925,-7.98,93,100,11.45,RU,1701042183
111,wanning,18.8003,110.3967,68.25,84,5,8.39,CN,1701042183
112,ushuaia,-54.8,-68.3,44.26,65,75,19.57,AR,1701042074
113,haiku-pauwela,20.9219,-156.3051,80.62,70,40,25.32,US,1701042108
114,nova vicosa,-17.8919,-39.3719,75.61,77,23,10.98,BR,1701042182
115,sao luiz gonzaga,-28.4083,-54.9608,71.71,84,16,6.64,BR,1701042184
116,iskateley,67.6803,53.1512,-3.8,99,80,6.89,RU,1701042184
117,naze,28.3667,129.4833,65.32,77,93,7.47,JP,1701042184
118,ola,59.5833,151.2833,1.36,78,100,12.06,RU,1701042184
119,ferkessedougou,9.6,-5.2,76.05,76,81,5.41,CI,1701042184
